,Movie Name,Movie Rating,Genres,Release,Runtime,Director,Movie Link
68,Pirates of the Caribbean: The Curse of the Black Pearl,78.0,"Adventure, Fantasy, Action
",        08/15/2003       ,2h 23m,Gore Verbinski,https://www.themoviedb.org/movie/22
69,Jackass Forever,69.0,"Comedy, Action, Documentary
",        02/04/2022       ,1h 36m,Jeff Tremaine,https://www.themoviedb.org/movie/656663
70,The House,70,"Animation, Drama, Comedy, Horror
",        01/14/2022       ,1h 37m,Marc James Roels,https://www.themoviedb.org/movie/926899
71,Avengers: Infinity War,83.0,"Adventure, Action, Science Fiction
",        04/27/2018       ,2h 29m,Joe Russo,https://www.themoviedb.org/movie/299536
72,Fistful of Vengeance,54.0,"Action, Crime, Fantasy
",        02/17/2022       ,1h 34m,Roel Reiné,https://www.themoviedb.org/movie/890656
73,The Simpsons in Plusaversary,66.0,"Animation, Comedy, Fantasy
",        11/12/2021       ,4m,David Silverman,https://www.themoviedb.org/movie/877183
74,2000 Mules,66.0,"Documentary, Crime
",        05/02/2022       ,1h 30m,Dinesh D'Souza,https://www.themoviedb.org/movie/933554
75,The Hunting,49.0,"Horror
",        01/21/2022       ,1h 31m,Mark Andrew Hamer,https://www.themoviedb.org/movie/870671
76,Red Notice,68.0,"Action, Comedy, Crime, Thriller
",        11/05/2021       ,1h 58m,Rawson Marshall Thurber,https://www.themoviedb.org/movie/512195
77,Mortal Kombat,72.0,"Action, Fantasy, Adventure
",        04/23/2021       ,1h 50m,Simon McQuoid,https://www.themoviedb.org/movie/460465
78,Doctor Strange,69.0,"Action, Animation, Fantasy, Science Fiction
",        08/14/2007       ,1h 16m,Patrick Archibald,https://www.themoviedb.org/movie/14830
79,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,62.0,"Animation, Action, Adventure, Fantasy
",        07/30/2021       ,1h 34m,Toshifumi Akai,https://www.themoviedb.org/movie/829920
80,Echoes of a Crime,69.0,"Thriller, Horror
",        01/27/2022       ,1h 24m,Cristian Bernard,https://www.themoviedb.org/movie/842052
81,The Weekend Away,59.0,"Thriller, Mystery
",        03/03/2022       ,1h 31m,Kim Farrant,https://www.themoviedb.org/movie/840882
82,Desperate Riders,61.0,"Western, Action
",        02/25/2022       ,1h 30m,Michael Feifer,https://www.themoviedb.org/movie/928999
83,Looop Lapeta,63.0,"Action, Comedy, Crime
",        02/04/2022       ,2h 11m,Aakash Bhatia,https://www.themoviedb.org/movie/783461
84,Nightmare Alley,70,"Crime, Drama, Thriller
",        12/03/2021       ,2h 30m,Guillermo del Toro,https://www.themoviedb.org/movie/597208
85,PAW Patrol: The Movie,75.0,"Animation, Family, Adventure, Comedy
",        08/20/2021       ,1h 26m,Cal Brunker,https://www.themoviedb.org/movie/675445
86,The Exorcism of God,66.0,"Horror
",        02/10/2022       ,1h 38m,Alejandro Hidalgo,https://www.themoviedb.org/movie/836225
87,Antlers,64.0,"Drama, Horror, Mystery
",        10/29/2021       ,1h 39m,Scott Cooper,https://www.themoviedb.org/movie/516329
88,F9,73.0,"Action, Crime, Thriller, Adventure
",        06/25/2021       ,2h 23m,Justin Lin,https://www.themoviedb.org/movie/385128
89,The Suicide Squad,77.0,"Action, Adventure, Fantasy
",        08/06/2021       ,2h 12m,James Gunn,https://www.themoviedb.org/movie/436969
90,Deep Water,56.0,"Drama, Mystery, Thriller
",        03/18/2022       ,1h 56m,Adrian Lyne,https://www.themoviedb.org/movie/619979
91,Cruella,82.0,"Comedy, Crime, Adventure
",        05/28/2021       ,2h 14m,Craig Gillespie,https://www.themoviedb.org/movie/337404
92,Chernobyl: Abyss,61.0,"Drama, History, Adventure
",        04/15/2021       ,2h 16m,Danila Kozlovsky,https://www.themoviedb.org/movie/589761
93,Free Guy,77.0,"Comedy, Action, Adventure, Science Fiction
",        09/17/2021       ,1h 55m,Shawn Levy,https://www.themoviedb.org/movie/550988
94,Pirates of the Caribbean: Dead Men Tell No Tales,66.0,"Adventure, Action, Fantasy
",        05/26/2017       ,2h 9m,Joachim Rønning,https://www.themoviedb.org/movie/166426
95,American Siege,58.0,"Action, Thriller, Crime, Drama
",        03/31/2022       ,1h 30m,Edward Drake,https://www.themoviedb.org/movie/766907
96,Run Gun,51.0,"Action, Thriller
",        01/11/2022       ,1h 36m,Christopher Borrelli,https://www.themoviedb.org/movie/910596
97,Through My Window,76.0,"Romance, Drama
",        02/04/2022       ,1h 52m,Marçal Forés,https://www.themoviedb.org/movie/818647
98,The 355,60,"Action, Thriller
",        01/07/2022       ,2h 2m,Simon Kinberg,https://www.themoviedb.org/movie/522016
99,Queen of Spades,63.0,"Horror
",        08/19/2021       ,1h 31m,Patrick White,https://www.themoviedb.org/movie/829358
100,Black Widow,75.0,"Action, Adventure, Science Fiction
",        07/09/2021       ,2h 14m,Cate Shortland,https://www.themoviedb.org/movie/497698
101,Jujutsu Kaisen 0,77.0,"Animation, Action, Adventure, Mystery
",        12/24/2021       ,1h 45m,Sunghoo Park,https://www.themoviedb.org/movie/810693
102,Sex Appeal,67.0,"Comedy, Romance
",        01/14/2022       ,1h 30m,Talia Osteen,https://www.themoviedb.org/movie/803104
103,It Follows,66.0,"Horror, Mystery
",        03/27/2015       ,1h 41m,David Robert Mitchell,https://www.themoviedb.org/movie/270303
104,Luca,79.0,"Animation, Comedy, Family, Fantasy, Adventure
",        06/17/2021       ,1h 35m,Enrico Casarosa,https://www.themoviedb.org/movie/508943
105,The Last Warrior: Root of Evil,72.0,"Fantasy, Adventure, Comedy
",        01/01/2021       ,2h,Dmitriy Dyachenko,https://www.themoviedb.org/movie/589754
106,After We Fell,71.0,"Romance, Drama
",        09/30/2021       ,1h 39m,Castille Landon,https://www.themoviedb.org/movie/744275
107,Zack Snyder's Justice League,83.0,"Action, Adventure, Fantasy, Science Fiction
",        03/18/2021       ,4h 2m,Zack Snyder,https://www.themoviedb.org/movie/791373
108,Dune,79.0,"Science Fiction, Adventure
",        10/22/2021       ,2h 35m,Denis Villeneuve,https://www.themoviedb.org/movie/438631
109,Two,54.0,"Thriller, Horror
",        07/23/2021       ,1h 11m,Mar Targarona,https://www.themoviedb.org/movie/811072
110,One Shot,68.0,"Action
",        01/21/2022       ,1h 37m,James Nunn,https://www.themoviedb.org/movie/811592
111,Deathstroke: Knights & Dragons - The Movie,69.0,"Animation, Action, Adventure, Science Fiction
",        08/04/2020       ,1h 27m,Sung Jin Ahn,https://www.themoviedb.org/movie/703771
112,The Avengers,77.0,"Science Fiction, Action, Adventure
",        04/27/2012       ,2h 23m,Joss Whedon,https://www.themoviedb.org/movie/24428
113,The Takedown,57.0,"Comedy, Action
",        05/06/2022       ,1h 59m,Louis Leterrier,https://www.themoviedb.org/movie/785985
114,Death on the Nile,65.0,"Crime, Drama, Mystery, Thriller
",        02/11/2022       ,2h 7m,Kenneth Branagh,https://www.themoviedb.org/movie/505026
115,Paranormal Activity: Next of Kin,65.0,"Horror, Mystery, Thriller
",        10/29/2021       ,1h 38m,William Eubank,https://www.themoviedb.org/movie/609972
116,Dark Blood,33.0,"Crime, Drama
",        10/07/2021       ,Not Define,Harold Trompetero,https://www.themoviedb.org/movie/845885
117,Godzilla vs. Kong,78.0,"Action, Fantasy, Science Fiction
",        03/24/2021       ,1h 53m,Adam Wingard,https://www.themoviedb.org/movie/399566
118,Jungle Cruise,76.0,"Action, Adventure, Fantasy
",        09/24/2021       ,2h 7m,Jaume Collet-Serra,https://www.themoviedb.org/movie/451048
119,No Time to Die,75.0,"Adventure, Action, Thriller
",        09/30/2021       ,2h 43m,Cary Joji Fukunaga,https://www.themoviedb.org/movie/370172
120,Mobile Suit Gundam Hathaway,76.0,"Animation, Action, Drama, Science Fiction
",        06/11/2021       ,1h 36m,Shuko Murase,https://www.themoviedb.org/movie/685274
121,Ron's Gone Wrong,81.0,"Animation, Science Fiction, Family, Comedy
",        10/22/2021       ,1h 47m,Jean-Philippe Vine,https://www.themoviedb.org/movie/482321
122,The Medium,71.0,"Horror, Thriller
",        10/28/2021       ,2h 11m,Banjong Pisanthanakun,https://www.themoviedb.org/movie/745881
123,Mother/Android,58.0,"Science Fiction, Thriller
",        12/17/2021       ,1h 51m,Mattson Tomlin,https://www.themoviedb.org/movie/739413
124,Brazen,49.0,"Thriller, Mystery, Drama
",        01/13/2022       ,1h 34m,Monika Mitchell,https://www.themoviedb.org/movie/916740
125,Dancing on Glass,58.0,"Drama
",        04/08/2022       ,2h 17m,Jota Linares,https://www.themoviedb.org/movie/800407
126,Avengers: Endgame,83.0,"Adventure, Science Fiction, Action
",        04/26/2019       ,3h 1m,Joe Russo,https://www.themoviedb.org/movie/299534
127,Diary of a Wimpy Kid,64.0,"Animation, Comedy, Family
",        12/03/2021       ,58m,Swinton O. Scott III,https://www.themoviedb.org/movie/774741
128,Dragon Ball Z: Resurrection 'F',68.0,"Action, Animation, Science Fiction
",        04/18/2015       ,1h 33m,Tadayoshi Yamamuro,https://www.themoviedb.org/movie/303857
129,Along for the Ride,69.0,"Romance, Drama
",        05/06/2022       ,1h 46m,Sofia Alvarez,https://www.themoviedb.org/movie/778106
130,Dark Spell,67.0,"Romance, Horror, Thriller
",        02/11/2021       ,1h 32m,Svyatoslav Podgaevsky,https://www.themoviedb.org/movie/633802
131,Meander,61.0,"Horror, Science Fiction, Drama, Thriller
",        05/26/2021       ,1h 31m,Mathieu Turi,https://www.themoviedb.org/movie/523936
132,The Conjuring: The Devil Made Me Do It,76.0,"Horror, Mystery, Thriller
",        06/04/2021       ,1h 51m,Michael Chaves,https://www.themoviedb.org/movie/423108
133,Marry Me,69.0,"Romance, Comedy, Music
",        02/11/2022       ,1h 52m,Kat Coiro,https://www.themoviedb.org/movie/615904
